Time,Team,Operation,BuyVolume,SellVolume,EtfPosition,FuturePosition,EtfPrice,FuturePrice,TotalFees,AccountBalance,ProfitOrLoss,Status
3.217916,Eternite_1023,Tick,0,10,-10,10,127600,127200,255,2745,205,OK
3.217916,IdentityExchangers_4761,Tick,0,0,0,0,127600,127200,0,0,0,OK
3.522398,ReadyFlamingo_938703,Tick,0,27,-27,27,127700,127200,-343,-1257,-8115,OK
3.522398,HappyLife_99999,Tick,7,15,-8,8,127700,127200,555,-11155,-13187,OK
3.522398,Algorizzms_1224,Tick,10,20,-10,7,127700,127200,0,389400,5260,OK
3.522398,Emineminem_522023,Tick,18,0,18,-5,127700,127200,266,-1641366,16806,OK
3.522398,potatochick_701801,Tick,20,30,-10,30,127700,127200,-635,-2547365,-5905,OK
3.522398,Eternite_1023,Tick,0,10,-10,10,127700,127200,255,2745,205,OK
3.522398,IdentityExchangers_4761,Tick,0,0,0,0,127700,127200,0,0,0,OK
3.782042,ReadyFlamingo_938703,Tick,0,27,-27,27,127700,127400,-343,-1257,-8142,OK
3.782042,HappyLife_99999,Tick,7,15,-8,8,127700,127400,555,-11155,-13195,OK
3.782042,Algorizzms_1224,Tick,10,20,-10,7,127700,127400,0,389400,4650,OK
3.782042,Emineminem_522023,Tick,18,0,18,-5,127700,127400,266,-1641366,19424,OK
3.782042,potatochick_701801,Tick,20,30,-10,30,127700,127400,-635,-2547365,-1915,OK
3.782042,Eternite_1023,Tick,0,10,-10,10,127700,127400,255,2745,195,OK
3.782042,IdentityExchangers_4761,Tick,0,0,0,0,127700,127400,0,0,0,OK
4.046853,ReadyFlamingo_938703,Tick,0,27,-27,27,127700,127400,-343,-1257,-8142,OK
4.046853,HappyLife_99999,Tick,7,15,-8,8,127700,127400,555,-11155,-13195,OK
4.046853,Algorizzms_1224,Tick,10,20,-10,7,127700,127400,0,389400,4650,OK
4.046853,Emineminem_522023,Tick,18,0,18,-5,127700,127400,266,-1641366,19424,OK
4.046853,potatochick_701801,Tick,20,30,-10,30,127700,127400,-635,-2547365,-1915,OK
4.046853,Eternite_1023,Tick,0,10,-10,10,127700,127400,255,2745,195,OK
4.046853,IdentityExchangers_4761,Tick,0,0,0,0,127700,127400,0,0,0,OK
4.299079,ReadyFlamingo_938703,Tick,0,27,-27,27,127700,127600,-343,-1257,-3957,OK
4.299079,HappyLife_99999,Tick,7,15,-8,8,127700,127600,555,-11155,-11955,OK
4.299079,Algorizzms_1224,Tick,10,20,-10,7,127700,127600,0,389400,5600,OK
4.299079,Emineminem_522023,Tick,18,0,18,-5,127700,127600,266,-1641366,19234,OK
4.299079,potatochick_701801,Tick,20,30,-10,30,127700,127600,-635,-2547365,3635,OK
4.299079,Eternite_1023,Tick,0,10,-10,10,127700,127600,255,2745,1745,OK
4.299079,IdentityExchangers_4761,Tick,0,0,0,0,127700,127600,0,0,0,OK
4.514842,ReadyFlamingo_938703,Tick,0,27,-27,27,127700,127600,-343,-1257,-3957,OK
4.514842,HappyLife_99999,Tick,7,15,-8,8,127700,127600,555,-11155,-11955,OK
4.514842,Algorizzms_1224,Tick,10,20,-10,7,127700,127600,0,389400,5600,OK
4.514842,Emineminem_522023,Tick,18,0,18,-5,127700,127600,266,-1641366,19234,OK
4.514842,potatochick_701801,Tick,20,30,-10,30,127700,127600,-635,-2547365,3635,OK
4.514842,Eternite_1023,Tick,0,10,-10,10,127700,127600,255,2745,1745,OK
4.514842,IdentityExchangers_4761,Tick,0,0,0,0,127700,127600,0,0,0,OK
4.766272,ReadyFlamingo_938703,Tick,0,30,-30,30,127700,127700,-381,-1219,-1219,OK
4.766272,HappyLife_99999,Tick,10,15,-5,5,127700,127700,632,-11532,-11532,OK
4.766272,Algorizzms_1224,Tick,10,20,-10,7,127700,127700,0,389400,6300,OK
4.766272,Emineminem_522023,Tick,18,0,18,-5,127700,127700,266,-1641366,18734,OK
4.766272,potatochick_701801,Tick,20,30,-10,30,127700,127700,-635,-2547365,6635,OK
4.766272,Eternite_1023,Tick,0,10,-10,10,127700,127700,255,2745,2745,OK
4.766272,IdentityExchangers_4761,Tick,0,0,0,0,127700,127700,0,0,0,OK
4.969966,ReadyFlamingo_938703,Tick,0,30,-30,30,127700,127700,-381,-1219,-1219,OK
4.969966,HappyLife_99999,Tick,10,15,-5,5,127700,127700,632,-11532,-11532,OK
4.969966,Algorizzms_1224,Tick,10,20,-10,7,127700,127700,0,389400,6300,OK
4.969966,Emineminem_522023,Tick,18,0,18,-5,127700,127700,266,-1641366,18734,OK
4.969966,potatochick_701801,Tick,20,30,-10,30,127700,127700,-635,-2547365,6635,OK
4.969966,Eternite_1023,Tick,0,10,-10,10,127700,127700,255,2745,2745,OK
4.969966,IdentityExchangers_4761,Tick,0,0,0,0,127700,127700,0,0,0,OK
5.204835,ReadyFlamingo_938703,Tick,0,30,-30,30,127700,128000,-381,-1219,6461,OK
5.204835,HappyLife_99999,Tick,10,15,-5,5,127700,128000,632,-11532,-10252,OK
5.204835,Algorizzms_1224,Tick,10,20,-10,7,127700,128000,0,389400,7960,OK
5.204835,Emineminem_522023,Tick,18,0,18,-5,127700,128000,266,-1641366,18026,OK
5.204835,potatochick_701801,Tick,20,30,-10,30,127700,128000,-635,-2547365,15195,OK
5.204835,Eternite_1023,Tick,0,10,-10,10,127700,128000,255,2745,5305,OK
5.204835,IdentityExchangers_4761,Tick,0,0,0,0,127700,128000,0,0,0,OK
5.541835,ReadyFlamingo_938703,Tick,0,30,-30,30,127700,128000,-381,-1219,6461,OK
5.541835,HappyLife_99999,Tick,10,15,-5,5,127700,128000,632,-11532,-10252,OK
5.541835,Algorizzms_1224,Tick,10,20,-10,7,127700,128000,0,389400,7960,OK
5.541835,Emineminem_522023,Tick,18,0,18,-5,127700,128000,266,-1641366,18026,OK
5.541835,potatochick_701801,Tick,20,30,-10,30,127700,128000,-635,-2547365,15195,OK
5.541835,Eternite_1023,Tick,0,10,-10,10,127700,128000,255,2745,5305,OK
5.541835,IdentityExchangers_4761,Tick,0,0,0,0,127700,128000,0,0,0,OK
5.724373,ReadyFlamingo_938703,Tick,0,30,-30,30,127700,128000,-381,-1219,6461,OK
5.724373,HappyLife_99999,Tick,10,15,-5,5,127700,128000,632,-11532,-10252,OK
5.724373,Algorizzms_1224,Tick,10,20,-10,7,127700,128000,0,389400,7960,OK
5.724373,Emineminem_522023,Tick,18,0,18,-5,127700,128000,266,-1641366,18026,OK
5.724373,potatochick_701801,Tick,20,30,-10,30,127700,128000,-635,-2547365,15195,OK
5.724373,Eternite_1023,Tick,0,10,-10,10,127700,128000,255,2745,5305,OK
5.724373,IdentityExchangers_4761,Tick,0,0,0,0,127700,128000,0,0,0,OK
5.973358,ReadyFlamingo_938703,Tick,0,30,-30,30,127700,128000,-381,-1219,6461,OK
5.973358,HappyLife_99999,Tick,10,15,-5,5,127700,128000,632,-11532,-10252,OK
5.973358,Algorizzms_1224,Tick,10,20,-10,7,127700,128000,0,389400,7960,OK
5.973358,Emineminem_522023,Tick,18,0,18,-5,127700,128000,266,-1641366,18026,OK
5.973358,potatochick_701801,Tick,20,30,-10,30,127700,128000,-635,-2547365,15195,OK
5.973358,Eternite_1023,Tick,0,10,-10,10,127700,128000,255,2745,5305,OK
5.973358,IdentityExchangers_4761,Tick,0,0,0,0,127700,128000,0,0,0,OK
6.212932,ReadyFlamingo_938703,Tick,0,30,-30,30,128100,128000,-381,-1219,-4219,OK
6.212932,HappyLife_99999,Tick,21,15,6,-6,128100,128000,491,-14691,-14091,OK
6.212932,Algorizzms_1224,Tick,10,20,-10,7,128100,128000,0,389400,4400,OK
6.212932,Emineminem_522023,Tick,18,0,18,-5,128100,128000,266,-1641366,24434,OK
6.212932,potatochick_701801,Tick,20,30,-10,30,128100,128000,-635,-2547365,11635,OK
6.212932,Eternite_1023,Tick,0,10,-10,10,128100,128000,255,2745,1745,OK
6.212932,IdentityExchangers_4761,Tick,0,0,0,0,128100,128000,0,0,0,OK
6.530521,ReadyFlamingo_938703,Tick,10,30,-20,20,127200,127800,-509,1909,7029,OK
6.530521,HappyLife_99999,Tick,36,15,21,-21,127200,127800,299,-15999,-21375,OK
6.530521,Algorizzms_1224,Tick,20,20,0,0,127200,127800,-128,7128,7128,OK
6.530521,Emineminem_522023,Tick,30,0,30,-9,127200,127800,113,-2661213,14907,OK
6.530521,potatochick_701801,Tick,30,30,0,30,127200,127800,-763,-3827237,6763,OK
6.530521,Eternite_1023,Tick,0,10,-10,10,127200,127800,255,2745,5305,OK
6.530521,IdentityExchangers_4761,Tick,0,0,0,0,127200,127800,0,0,0,OK
6.731554,ReadyFlamingo_938703,Tick,10,30,-20,20,127800,127700,-509,1909,-91,OK
6.731554,HappyLife_99999,Tick,36,15,21,-21,127800,127700,299,-15999,-13899,OK
6.731554,Algorizzms_1224,Tick,20,20,0,0,127800,127700,-128,7128,7128,OK
6.731554,Emineminem_522023,Tick,30,10,20,-6,127800,127700,369,-1766569,23231,OK
6.731554,potatochick_701801,Tick,40,30,10,30,127800,127700,-891,-5105109,3891,OK
6.731554,Eternite_1023,Tick,0,10,-10,10,127800,127700,255,2745,1745,OK
6.731554,IdentityExchangers_4761,Tick,0,0,0,0,127800,127700,0,0,0,OK
6.97615,ReadyFlamingo_938703,Tick,20,40,-20,20,127300,127700,-764,7164,12264,OK
6.97615,HappyLife_99999,Tick,61,30,31,-31,127300,127700,-212,-11488,-19393,OK
6.97615,Algorizzms_1224,Tick,28,30,-2,1,127300,127700,-358,138958,11768,OK
6.97615,Emineminem_522023,Tick,30,25,5,-1,127300,127700,177,-485377,24148,OK
6.97615,potatochick_701801,Tick,50,40,10,40,127300,127700,-763,-6379237,3213,OK
6.97615,Eternite_1023,Tick,0,10,-10,10,127300,127700,255,2745,5295,OK
6.97615,IdentityExchangers_4761,Tick,0,0,0,0,127300,127700,0,0,0,OK
7.287926,ReadyFlamingo_938703,Tick,30,40,-10,10,127400,127600,-891,9291,11291,OK
7.287926,HappyLife_99999,Tick,61,30,31,-31,127400,127600,-212,-11488,-17688,OK
7.287926,Algorizzms_1224,Tick,28,30,-2,1,127400,127600,-358,138958,11758,OK
7.287926,Emineminem_522023,Tick,30,25,5,-1,127400,127600,177,-485377,24023,OK
7.287926,potatochick_701801,Tick,50,50,0,50,127400,127600,-508,-6382492,-2492,OK
7.287926,Eternite_1023,Tick,0,10,-10,10,127400,127600,255,2745,4745,OK
7.287926,IdentityExchangers_4761,Tick,0,0,0,0,127400,127600,0,0,0,OK
7.539477,ReadyFlamingo_938703,Tick,30,40,-10,10,127400,127600,-891,9291,11291,OK
7.539477,HappyLife_99999,Tick,61,30,31,-31,127400,127600,-212,-11488,-17688,OK
7.539477,Algorizzms_1224,Tick,28,30,-2,1,127400,127600,-358,138958,11758,OK
7.539477,Emineminem_522023,Tick,30,25,5,-1,127400,127600,177,-485377,24023,OK
7.539477,potatochick_701801,Tick,50,50,0,50,127400,127600,-508,-6382492,-2492,OK
7.539477,Eternite_1023,Tick,0,10,-10,10,127400,127600,255,2745,4745,OK
7.539477,IdentityExchangers_4761,Tick,0,0,0,0,127400,127600,0,0,0,OK
7.715785,ReadyFlamingo_938703,Tick,40,40,0,0,127400,127600,-1019,9419,9419,OK
7.715785,HappyLife_99999,Tick,76,30,46,-46,127400,127600,-403,-8297,-17497,OK
7.715785,Algorizzms_1224,Tick,36,30,6,-5,127400,127600,-460,-114540,11860,OK
7.715785,Emineminem_522023,Tick,30,25,5,-1,127400,127600,177,-485377,24023,OK
7.715785,potatochick_701801,Tick,60,50,10,50,127400,127600,-635,-7656365,-2365,OK
7.715785,Eternite_1023,Tick,0,10,-10,10,127400,127600,255,2745,4745,OK
7.715785,IdentityExchangers_4761,Tick,0,0,0,0,127400,127600,0,0,0,OK
7.969635,ReadyFlamingo_938703,Tick,40,40,0,0,127400,127600,-1019,9419,9419,OK
7.969635,HappyLife_99999,Tick,76,30,46,-46,127400,127600,-403,-8297,-17497,OK
7.969635,Algorizzms_1224,Tick,36,30,6,-5,127400,127600,-460,-114540,11860,OK
7.969635,Emineminem_522023,Tick,30,25,5,-1,127400,127600,177,-485377,24023,OK
7.969635,potatochick_701801,Tick,60,50,10,50,127400,127600,-635,-7656365,-2365,OK
7.969635,Eternite_1023,Tick,0,10,-10,10,127400,127600,255,2745,4745,OK
7.969635,IdentityExchangers_4761,Tick,0,0,0,0,127400,127600,0,0,0,OK
8.264246,ReadyFlamingo_938703,Tick,50,40,10,-10,127500,127600,-1147,9547,8547,OK
8.264246,HappyLife_99999,Tick,76,30,46,-46,127500,127600,-403,-8297,-12897,OK
8.264246,Algorizzms_1224,Tick,36,30,6,-5,127500,127600,-460,-114540,12460,OK
8.264246,Emineminem_522023,Tick,30,25,5,-1,127500,127600,177,-485377,24523,OK
8.264246,potatochick_701801,Tick,60,60,0,60,127500,127600,-380,-7658620,-2620,OK
8.264246,Eternite_1023,Tick,0,10,-10,10,127500,127600,255,2745,3745,OK
8.264246,IdentityExchangers_4761,Tick,0,0,0,0,127500,127600,0,0,0,OK
8.516939,ReadyFlamingo_938703,Tick,50,40,10,-10,127500,127400,-1147,9547,10547,OK
8.516939,HappyLife_99999,Tick,76,30,46,-46,127500,127400,-403,-8297,-3697,OK
8.516939,Algorizzms_1224,Tick,36,30,6,-5,127500,127400,-460,-114540,13460,OK
8.516939,Emineminem_522023,Tick,30,25,5,-1,127500,127400,177,-485377,24723,OK
8.516939,potatochick_701801,Tick,60,60,0,60,127500,127400,-380,-7658620,-14620,OK
8.516939,Eternite_1023,Tick,0,10,-10,10,127500,127400,255,2745,1745,OK
8.516939,IdentityExchangers_4761,Tick,0,0,0,0,127500,127400,0,0,0,OK
8.733472,ReadyFlamingo_938703,Tick,50,40,10,-10,127600,127400,-1147,9547,11547,OK
8.733472,HappyLife_99999,Tick,76,30,46,-46,127600,127400,-403,-8297,903,OK
8.733472,Algorizzms_1224,Tick,36,30,6,-5,127600,127400,-460,-114540,14060,OK
8.733472,Emineminem_522023,Tick,40,25,15,-4,127600,127400,432,-1378832,25568,OK
8.733472,potatochick_701801,Tick,60,70,-10,70,127600,127400,-508,-7659492,-17492,OK
8.733472,Eternite_1023,Tick,0,10,-10,10,127600,127400,255,2745,745,OK
8.733472,IdentityExchangers_4761,Tick,0,0,0,0,127600,127400,0,0,0,OK
9.034803,ReadyFlamingo_938703,Tick,50,40,10,-10,127600,127400,-1147,9547,11547,OK
9.034803,HappyLife_99999,Tick,76,30,46,-46,127600,127400,-403,-8297,903,OK
9.034803,Algorizzms_1224,Tick,36,30,6,-5,127600,127400,-460,-114540,14060,OK
9.034803,Emineminem_522023,Tick,40,25,15,-4,127600,127400,432,-1378832,25568,OK
9.034803,potatochick_701801,Tick,60,70,-10,70,127600,127400,-508,-7659492,-17492,OK
9.034803,Eternite_1023,Tick,0,10,-10,10,127600,127400,255,2745,745,OK
9.034803,IdentityExchangers_4761,Tick,0,0,0,0,127600,127400,0,0,0,OK
9.247703,ReadyFlamingo_938703,Tick,50,40,10,-10,127600,127800,-1147,9547,7547,OK
9.247703,HappyLife_99999,Tick,76,30,46,-46,127600,127800,-403,-8297,-17497,OK
9.247703,Algorizzms_1224,Tick,36,30,6,-5,127600,127800,-460,-114540,12060,OK
9.247703,Emineminem_522023,Tick,40,25,15,-4,127600,127800,432,-1378832,23968,OK
9.247703,potatochick_701801,Tick,60,70,-10,70,127600,127800,-508,-7659492,10508,OK
9.247703,Eternite_1023,Tick,0,10,-10,10,127600,127800,255,2745,4745,OK
9.247703,IdentityExchangers_4761,Tick,0,0,0,0,127600,127800,0,0,0,OK
9.50419,ReadyFlamingo_938703,Tick,50,40,10,-10,127600,127800,-1147,9547,7547,OK
9.50419,HappyLife_99999,Tick,76,30,46,-46,127600,127800,-403,-8297,-17497,OK
9.50419,Algorizzms_1224,Tick,36,30,6,-5,127600,127800,-460,-114540,12060,OK
9.50419,Emineminem_522023,Tick,40,25,15,-4,127600,127800,432,-1378832,23968,OK
9.50419,potatochick_701801,Tick,60,70,-10,70,127600,127800,-508,-7659492,10508,OK
9.50419,Eternite_1023,Tick,0,10,-10,10,127600,127800,255,2745,4745,OK
9.50419,IdentityExchangers_4761,Tick,0,0,0,0,127600,127800,0,0,0,OK
9.771145,ReadyFlamingo_938703,Tick,50,40,10,-10,127000,127800,-1147,9547,6987,OK
9.771145,HappyLife_99999,Tick,91,30,61,-61,127000,127800,-594,-3606,-19222,OK
9.771145,Algorizzms_1224,Tick,46,30,16,-12,127000,127800,-587,-494213,12891,OK
9.771145,Emineminem_522023,Tick,53,25,28,-8,127000,127800,266,-2524466,24366,OK
9.771145,potatochick_701801,Tick,70,70,0,70,127000,127800,-636,-8934364,11636,OK
9.771145,Eternite_1023,Tick,0,10,-10,10,127000,127800,255,2745,5305,OK
9.771145,IdentityExchangers_4761,Tick,0,0,0,0,127000,127800,0,0,0,OK
10.015716,ReadyFlamingo_938703,Tick,50,40,10,-10,127000,127500,-1147,9547,6997,OK
10.015716,HappyLife_99999,Tick,91,30,61,-61,127000,127500,-594,-3606,-19161,OK
10.015716,Algorizzms_1224,Tick,46,30,16,-12,127000,127500,-587,-494213,11707,OK
10.015716,Emineminem_522023,Tick,53,25,28,-8,127000,127500,266,-2524466,18394,OK
10.015716,potatochick_701801,Tick,70,70,0,70,127000,127500,-636,-8934364,-9364,OK
10.015716,Eternite_1023,Tick,0,10,-10,10,127000,127500,255,2745,5295,OK
10.015716,IdentityExchangers_4761,Tick,0,0,0,0,127000,127500,0,0,0,OK
10.213526,ReadyFlamingo_938703,Tick,50,40,10,-10,127200,127500,-1147,9547,6997,OK
10.213526,HappyLife_99999,Tick,106,30,76,-76,127200,127500,-785,-415,-19795,OK
10.213526,Algorizzms_1224,Tick,52,30,22,-16,127200,127500,-663,-747737,11653,OK
10.213526,Emineminem_522023,Tick,53,25,28,-8,127200,127500,266,-2524466,18394,OK
10.213526,potatochick_701801,Tick,80,70,10,70,127200,127500,-763,-10207237,-9787,OK
10.213526,Eternite_1023,Tick,0,10,-10,10,127200,127500,255,2745,5295,OK
10.213526,IdentityExchangers_4761,Tick,0,0,0,0,127200,127500,0,0,0,OK
10.545338,ReadyFlamingo_938703,Tick,60,40,20,-20,127100,127500,-1274,10674,5574,OK
10.545338,HappyLife_99999,Tick,106,30,76,-76,127100,127500,-785,-415,-19795,OK
10.545338,Algorizzms_1224,Tick,52,30,22,-16,127100,127500,-663,-747737,11653,OK
10.545338,Emineminem_522023,Tick,53,25,28,-8,127100,127500,266,-2524466,18394,OK
10.545338,potatochick_701801,Tick,84,70,14,70,127100,127500,-814,-10715586,-9156,OK
10.545338,Eternite_1023,Tick,0,10,-10,10,127100,127500,255,2745,5295,OK
10.545338,IdentityExchangers_4761,Tick,0,0,0,0,127100,127500,0,0,0,OK
10.738648,ReadyFlamingo_938703,Tick,60,40,20,-20,127100,127500,-1274,10674,5574,OK
10.738648,HappyLife_99999,Tick,106,30,76,-76,127100,127500,-785,-415,-19795,OK
10.738648,Algorizzms_1224,Tick,52,30,22,-16,127100,127500,-663,-747737,11653,OK
10.738648,Emineminem_522023,Tick,53,25,28,-8,127100,127500,266,-2524466,18394,OK
